Population Size, CrossOver Rate, Mutation Rate, Tournament Size, Best Fitness, Elitism
3000, 0.06, 0.001, 5, 0.4, 19892
3000, 0.5, 0.01, 10, 0.0, 18829
2500, 0.07, 0.01, 5, 0.2, 19551
3500, 0.07, 0.02, 10, 0.2, 20642
2500, 0.65, 0.01, 10, 0.0, 20861
3500, 0.06, 0.01, 10, 0.0, 21242
3500, 0.06, 0.005, 10, 0.0, 21655
2500, 0.55, 0.015, 10, 0.0, 20281
3500, 0.65, 0.015, 5, 0.2, 18704
2500, 0.55, 0.02, 10, 0.2, 21213
3500, 0.07, 0.015, 10, 0.6, 18570
3500, 0.5, 0.015, 5, 0.2, 19845
3500, 0.5, 0.001, 5, 0.6, 19748
3000, 0.65, 0.01, 5, 0.2, 19326
3500, 0.07, 0.02, 2, 0.2, 19624
2500, 0.5, 0.01, 2, 0.4, 19084
3000, 0.55, 0.001, 2, 0.4, 19894
3500, 0.07, 0.005, 2, 0.6, 18663
3500, 0.06, 0.01, 2, 0.2, 18922
3500, 0.06, 0.015, 2, 0.6, 18420
2500, 0.55, 0.01, 2, 0.2, 19203
3000, 0.5, 0.015, 2, 0.0, 20206
2500, 0.06, 0.01, 2, 0.2, 21510
3000, 0.65, 0.01, 10, 0.6, 19748
3500, 0.07, 0.02, 10, 0.4, 18876
2500, 0.55, 0.005, 5, 0.0, 20410
2500, 0.07, 0.001, 10, 0.0, 20311
2500, 0.65, 0.005, 2, 0.4, 19736
3500, 0.55, 0.01, 2, 0.0, 21337
3000, 0.55, 0.02, 2, 0.6, 20152
3000, 0.65, 0.01, 2, 0.0, 19707
3000, 0.5, 0.01, 5, 0.6, 18711
3500, 0.5, 0.005, 2, 0.6, 20496
2500, 0.07, 0.01, 10, 0.6, 19792
3500, 0.5, 0.015, 2, 0.0, 20106
3000, 0.65, 0.005, 10, 0.6, 19566
3000, 0.55, 0.015, 10, 0.6, 19234
3500, 0.65, 0.02, 2, 0.2, 19820
2500, 0.65, 0.005, 2, 0.6, 17439
3000, 0.06, 0.001, 10, 0.4, 21134
2500, 0.07, 0.01, 2, 0.2, 19355
3000, 0.5, 0.01, 2, 0.6, 19206
2500, 0.55, 0.015, 2, 0.4, 19212
2500, 0.65, 0.02, 2, 0.0, 19260
3000, 0.65, 0.001, 2, 0.0, 20375
3000, 0.07, 0.001, 10, 0.6, 21018
3000, 0.06, 0.02, 10, 0.4, 19616
3000, 0.5, 0.01, 2, 0.0, 21258
2500, 0.55, 0.001, 5, 0.6, 18077
2500, 0.06, 0.015, 5, 0.2, 17409
3000, 0.65, 0.005, 2, 0.6, 18826
3500, 0.5, 0.005, 10, 0.4, 19042
3000, 0.06, 0.015, 10, 0.0, 20658
3500, 0.65, 0.005, 2, 0.2, 19793
3500, 0.07, 0.01, 5, 0.0, 17170
3500, 0.55, 0.02, 2, 0.6, 20076
3500, 0.55, 0.001, 10, 0.4, 20472
2500, 0.65, 0.02, 10, 0.0, 20704
3000, 0.65, 0.001, 10, 0.4, 19890
3000, 0.65, 0.02, 10, 0.4, 18198
2500, 0.5, 0.001, 5, 0.4, 19603
2500, 0.65, 0.001, 5, 0.2, 19871
3500, 0.65, 0.015, 5, 0.0, 20813
3000, 0.5, 0.001, 5, 0.0, 20205
3000, 0.55, 0.02, 5, 0.4, 19980
2500, 0.65, 0.02, 10, 0.4, 20408
3500, 0.65, 0.02, 10, 0.2, 20137
3500, 0.07, 0.005, 5, 0.6, 20473
2500, 0.5, 0.01, 10, 0.4, 19880
3500, 0.5, 0.02, 10, 0.2, 20484
2500, 0.07, 0.005, 5, 0.0, 20630
2500, 0.5, 0.01, 10, 0.2, 21298
3000, 0.5, 0.005, 2, 0.6, 20432
3500, 0.65, 0.01, 5, 0.4, 19120
2500, 0.07, 0.01, 10, 0.2, 20498
2500, 0.5, 0.01, 2, 0.6, 20358
2500, 0.06, 0.02, 5, 0.2, 19655
3500, 0.06, 0.015, 2, 0.2, 20432
3500, 0.5, 0.005, 2, 0.0, 18732
2500, 0.65, 0.02, 10, 0.2, 20761
3500, 0.07, 0.015, 2, 0.2, 18190
3000, 0.5, 0.005, 2, 0.2, 19544
2500, 0.65, 0.02, 5, 0.2, 20375
2500, 0.5, 0.02, 5, 0.2, 19736
3500, 0.65, 0.01, 10, 0.0, 20330
3000, 0.06, 0.005, 10, 0.0, 19841
3000, 0.07, 0.005, 5, 0.6, 18425
3500, 0.07, 0.015, 5, 0.0, 19858
3000, 0.06, 0.001, 5, 0.2, 19566
3500, 0.5, 0.001, 5, 0.2, 21463
3500, 0.55, 0.02, 5, 0.2, 19198
3000, 0.06, 0.01, 5, 0.4, 19778
3500, 0.07, 0.001, 5, 0.4, 19030
3000, 0.07, 0.015, 2, 0.4, 20997
3000, 0.06, 0.01, 2, 0.4, 20569
2500, 0.65, 0.001, 10, 0.4, 19889
3000, 0.5, 0.005, 10, 0.6, 17552
3500, 0.07, 0.01, 10, 0.2, 20348
2500, 0.65, 0.02, 5, 0.6, 19556
2500, 0.5, 0.005, 2, 0.4, 19364
2500, 0.55, 0.015, 5, 0.2, 19432
3000, 0.5, 0.02, 2, 0.4, 19174
2500, 0.5, 0.001, 10, 0.4, 18664
2500, 0.55, 0.015, 5, 0.6, 19180
3000, 0.55, 0.01, 10, 0.4, 19860
3000, 0.65, 0.02, 10, 0.0, 18929
3500, 0.55, 0.02, 10, 0.2, 18493
3500, 0.07, 0.015, 2, 0.4, 19427
3000, 0.55, 0.005, 2, 0.4, 20274
2500, 0.65, 0.015, 2, 0.0, 21678
3000, 0.65, 0.02, 2, 0.2, 18968
3500, 0.07, 0.015, 10, 0.4, 19765
3500, 0.06, 0.01, 10, 0.6, 18792
3500, 0.65, 0.001, 5, 0.2, 19560
3000, 0.07, 0.02, 10, 0.6, 19372
3500, 0.55, 0.015, 2, 0.2, 19997
3000, 0.06, 0.005, 10, 0.4, 19281
2500, 0.5, 0.015, 5, 0.2, 20716
2500, 0.65, 0.001, 2, 0.4, 21384
3500, 0.06, 0.001, 5, 0.0, 19040
3500, 0.07, 0.02, 5, 0.2, 15856
2500, 0.65, 0.015, 2, 0.4, 17857
3000, 0.55, 0.02, 10, 0.6, 21141
3000, 0.06, 0.015, 5, 0.6, 21349
3500, 0.55, 0.015, 2, 0.4, 20412
2500, 0.5, 0.02, 2, 0.2, 19993
3500, 0.06, 0.005, 10, 0.4, 20709
2500, 0.55, 0.001, 2, 0.0, 19502
2500, 0.06, 0.005, 2, 0.4, 19948
3000, 0.55, 0.01, 2, 0.6, 19344
2500, 0.55, 0.015, 2, 0.6, 18317
2500, 0.5, 0.015, 2, 0.4, 18204
3500, 0.06, 0.001, 10, 0.0, 19862
3000, 0.65, 0.02, 2, 0.0, 17556
3000, 0.06, 0.005, 5, 0.4, 19933
3500, 0.06, 0.001, 5, 0.4, 17946
3000, 0.5, 0.015, 5, 0.6, 18560
2500, 0.5, 0.02, 10, 0.6, 20412
3000, 0.5, 0.015, 5, 0.4, 20268
3500, 0.5, 0.01, 10, 0.2, 19960
3500, 0.06, 0.001, 5, 0.6, 21116
3500, 0.5, 0.01, 2, 0.2, 18725
3000, 0.65, 0.02, 2, 0.4, 20624
3500, 0.06, 0.005, 2, 0.6, 19827
3000, 0.5, 0.02, 5, 0.2, 20058
3500, 0.06, 0.005, 2, 0.4, 18654
3500, 0.06, 0.02, 2, 0.0, 19692
2500, 0.06, 0.005, 5, 0.4, 17977
2500, 0.55, 0.01, 5, 0.6, 20813
2500, 0.65, 0.005, 5, 0.0, 19513
3500, 0.5, 0.015, 10, 0.4, 19693
3500, 0.06, 0.02, 2, 0.4, 19141
3000, 0.07, 0.01, 2, 0.6, 17612
3000, 0.65, 0.001, 2, 0.2, 20512
2500, 0.65, 0.01, 2, 0.0, 19973
2500, 0.06, 0.02, 5, 0.4, 20820
3500, 0.55, 0.015, 5, 0.4, 19986
2500, 0.5, 0.015, 10, 0.6, 18886
3500, 0.5, 0.01, 2, 0.0, 17135
2500, 0.65, 0.005, 5, 0.2, 20470
3500, 0.55, 0.02, 2, 0.2, 20957
2500, 0.65, 0.02, 10, 0.6, 20751
3000, 0.55, 0.005, 5, 0.0, 19271
3000, 0.65, 0.01, 2, 0.6, 20784
2500, 0.65, 0.001, 10, 0.6, 20901
3500, 0.5, 0.02, 2, 0.6, 19967
2500, 0.55, 0.02, 5, 0.6, 20578
3500, 0.65, 0.001, 5, 0.0, 18166
3000, 0.5, 0.01, 5, 0.4, 19270
2500, 0.65, 0.01, 2, 0.6, 20679
3000, 0.5, 0.001, 5, 0.6, 18947
3500, 0.06, 0.005, 2, 0.0, 18450
3000, 0.65, 0.005, 2, 0.2, 21275
3000, 0.65, 0.01, 5, 0.4, 20794
3000, 0.55, 0.02, 2, 0.0, 18651
3000, 0.5, 0.001, 10, 0.6, 19754
3000, 0.55, 0.015, 10, 0.2, 19454
3000, 0.55, 0.015, 5, 0.6, 18388
2500, 0.07, 0.001, 5, 0.0, 21668
3500, 0.07, 0.02, 10, 0.6, 19483
2500, 0.06, 0.005, 5, 0.0, 21569
2500, 0.5, 0.001, 5, 0.2, 18826
2500, 0.07, 0.02, 10, 0.4, 19942
3500, 0.65, 0.015, 2, 0.2, 20692
3500, 0.55, 0.02, 10, 0.4, 21027
3000, 0.65, 0.02, 2, 0.6, 19086
3500, 0.65, 0.02, 5, 0.4, 19759
3000, 0.55, 0.005, 10, 0.4, 19104
3500, 0.5, 0.01, 10, 0.6, 21416
3000, 0.06, 0.005, 5, 0.6, 20288
2500, 0.5, 0.001, 5, 0.0, 20266
3500, 0.65, 0.02, 5, 0.2, 21345
3000, 0.07, 0.005, 2, 0.4, 20648
2500, 0.5, 0.02, 5, 0.6, 18324
3500, 0.5, 0.02, 5, 0.0, 19014
3500, 0.5, 0.02, 2, 0.0, 20790
3000, 0.65, 0.001, 2, 0.4, 19574
3000, 0.07, 0.02, 2, 0.6, 20877
2500, 0.55, 0.01, 2, 0.0, 20717
3500, 0.07, 0.01, 5, 0.6, 19160
3500, 0.5, 0.005, 5, 0.6, 20296
2500, 0.06, 0.005, 10, 0.0, 20553
3000, 0.55, 0.01, 10, 0.0, 20571
3000, 0.65, 0.015, 2, 0.0, 21784
3000, 0.65, 0.015, 2, 0.6, 19507
2500, 0.5, 0.01, 10, 0.0, 20894
2500, 0.65, 0.015, 5, 0.6, 18989
3000, 0.55, 0.001, 10, 0.6, 19902
3500, 0.06, 0.001, 5, 0.2, 20958
3000, 0.55, 0.015, 5, 0.0, 20217
3000, 0.65, 0.01, 5, 0.6, 20038
3000, 0.5, 0.01, 10, 0.2, 19156
2500, 0.65, 0.005, 10, 0.2, 20097
3500, 0.5, 0.005, 2, 0.4, 18741
3500, 0.65, 0.02, 2, 0.4, 19168
3000, 0.65, 0.01, 2, 0.4, 18339
3500, 0.55, 0.01, 10, 0.4, 21194
2500, 0.55, 0.02, 2, 0.6, 21738
2500, 0.5, 0.015, 10, 0.0, 18075
3500, 0.5, 0.02, 5, 0.2, 19957
3500, 0.5, 0.02, 2, 0.4, 20027
3000, 0.55, 0.005, 10, 0.6, 15230
3500, 0.06, 0.001, 2, 0.2, 16688
3500, 0.07, 0.01, 2, 0.4, 19788
3500, 0.06, 0.005, 2, 0.2, 20076
3500, 0.55, 0.015, 10, 0.6, 18492
3500, 0.5, 0.02, 2, 0.2, 19661
3500, 0.5, 0.02, 5, 0.4, 20030
2500, 0.07, 0.01, 5, 0.0, 19170
2500, 0.07, 0.001, 10, 0.2, 20014
3000, 0.07, 0.02, 10, 0.0, 21449
3500, 0.06, 0.005, 5, 0.0, 18551
3500, 0.07, 0.01, 10, 0.0, 18255
3500, 0.65, 0.01, 2, 0.0, 18602
3000, 0.5, 0.01, 2, 0.4, 20355
2500, 0.55, 0.005, 5, 0.6, 20527
3500, 0.06, 0.001, 10, 0.4, 17907
2500, 0.5, 0.015, 5, 0.6, 19686
3500, 0.07, 0.001, 5, 0.0, 19853
3500, 0.06, 0.02, 10, 0.4, 20703
3500, 0.5, 0.005, 2, 0.2, 17444
3000, 0.5, 0.001, 10, 0.4, 20908
2500, 0.07, 0.001, 5, 0.4, 18412
3000, 0.06, 0.02, 10, 0.2, 17576
2500, 0.06, 0.015, 2, 0.4, 19676
3500, 0.07, 0.001, 2, 0.4, 19669
3000, 0.07, 0.01, 2, 0.4, 19423
2500, 0.06, 0.005, 5, 0.2, 19328
3500, 0.55, 0.01, 2, 0.4, 19079
3000, 0.55, 0.02, 2, 0.4, 19709
3500, 0.06, 0.02, 10, 0.0, 17342
2500, 0.55, 0.001, 10, 0.2, 20614
3000, 0.55, 0.005, 10, 0.0, 20595
2500, 0.06, 0.001, 5, 0.0, 19270
3500, 0.55, 0.01, 5, 0.2, 17973
3500, 0.5, 0.005, 5, 0.0, 20536
3000, 0.07, 0.02, 2, 0.4, 20707
3000, 0.55, 0.01, 10, 0.2, 19319
3000, 0.65, 0.001, 5, 0.6, 20117
3000, 0.55, 0.005, 10, 0.2, 21427
3000, 0.06, 0.015, 2, 0.0, 20189
3000, 0.06, 0.02, 2, 0.6, 21019
2500, 0.55, 0.015, 10, 0.6, 19826
3500, 0.5, 0.02, 5, 0.6, 17941
2500, 0.55, 0.001, 10, 0.6, 19735
2500, 0.5, 0.02, 10, 0.0, 21561
3500, 0.06, 0.005, 5, 0.2, 17270
3500, 0.06, 0.015, 5, 0.2, 20787
3000, 0.06, 0.02, 5, 0.4, 20469
3000, 0.07, 0.001, 10, 0.2, 20037
3500, 0.5, 0.001, 2, 0.0, 20823
3000, 0.07, 0.001, 5, 0.0, 19926
2500, 0.5, 0.005, 10, 0.0, 20183
2500, 0.5, 0.01, 5, 0.0, 20151
2500, 0.5, 0.015, 10, 0.4, 20124
3000, 0.5, 0.015, 5, 0.0, 20017
3500, 0.55, 0.015, 5, 0.0, 20783
3500, 0.55, 0.01, 10, 0.0, 18930
2500, 0.5, 0.005, 10, 0.4, 17914
2500, 0.07, 0.015, 5, 0.0, 18808
3500, 0.65, 0.005, 2, 0.4, 19172
2500, 0.55, 0.005, 10, 0.0, 20982
2500, 0.07, 0.005, 5, 0.2, 20580
3000, 0.5, 0.005, 5, 0.2, 20300
3000, 0.65, 0.015, 5, 0.4, 18071
2500, 0.5, 0.001, 10, 0.2, 19863
3000, 0.65, 0.005, 2, 0.4, 19619
3000, 0.06, 0.015, 10, 0.4, 19939
3000, 0.55, 0.001, 5, 0.0, 19473
3500, 0.55, 0.005, 5, 0.6, 19623
3000, 0.06, 0.001, 10, 0.0, 20656
3000, 0.06, 0.005, 5, 0.2, 20043
2500, 0.65, 0.01, 5, 0.6, 19543
3000, 0.65, 0.02, 10, 0.2, 20263
3000, 0.65, 0.005, 5, 0.0, 21362
3000, 0.55, 0.02, 10, 0.2, 21309
3500, 0.55, 0.02, 5, 0.4, 20007
3000, 0.06, 0.015, 5, 0.0, 21198
3000, 0.06, 0.01, 5, 0.6, 17742
2500, 0.5, 0.005, 5, 0.2, 20742
3500, 0.06, 0.015, 10, 0.2, 19590
2500, 0.06, 0.001, 5, 0.4, 21160
2500, 0.65, 0.001, 5, 0.0, 19089
3000, 0.06, 0.01, 10, 0.2, 19756
3500, 0.55, 0.02, 5, 0.0, 20655
2500, 0.55, 0.02, 5, 0.0, 21428
2500, 0.55, 0.01, 10, 0.2, 20203
2500, 0.55, 0.02, 10, 0.0, 18922
3000, 0.07, 0.005, 5, 0.0, 19941
3000, 0.55, 0.001, 10, 0.2, 19824
3000, 0.06, 0.02, 5, 0.6, 20860
2500, 0.65, 0.01, 5, 0.4, 20794
2500, 0.65, 0.015, 5, 0.0, 18348
2500, 0.07, 0.02, 5, 0.0, 17670
3000, 0.06, 0.001, 5, 0.6, 20283
3000, 0.55, 0.005, 2, 0.2, 18566
3000, 0.65, 0.001, 10, 0.6, 18754
3000, 0.07, 0.015, 5, 0.6, 19656
3500, 0.5, 0.015, 2, 0.4, 19481
3000, 0.55, 0.015, 5, 0.2, 17531
2500, 0.07, 0.005, 5, 0.4, 17594
3000, 0.65, 0.02, 5, 0.6, 19259
3500, 0.65, 0.001, 5, 0.6, 19157
3500, 0.06, 0.02, 5, 0.6, 18598
3500, 0.06, 0.02, 5, 0.0, 19000
3500, 0.06, 0.02, 5, 0.4, 18617
3000, 0.5, 0.005, 5, 0.6, 19152
2500, 0.5, 0.01, 5, 0.6, 19309
3000, 0.5, 0.01, 5, 0.0, 20368
3000, 0.65, 0.02, 5, 0.0, 15247
3000, 0.07, 0.001, 10, 0.0, 18511
3500, 0.65, 0.005, 10, 0.4, 20083
3500, 0.65, 0.005, 5, 0.4, 19702
3000, 0.55, 0.02, 5, 0.2, 20371
2500, 0.55, 0.015, 5, 0.0, 20572
2500, 0.55, 0.01, 5, 0.2, 17241
3500, 0.5, 0.02, 10, 0.0, 18610
3500, 0.55, 0.001, 10, 0.0, 20323
3500, 0.5, 0.005, 5, 0.2, 20626
2500, 0.65, 0.001, 10, 0.2, 19961
3000, 0.65, 0.001, 5, 0.4, 19642
3000, 0.65, 0.005, 10, 0.0, 20961
3500, 0.65, 0.005, 10, 0.0, 18004
3500, 0.5, 0.001, 5, 0.4, 18905
2500, 0.65, 0.005, 10, 0.0, 19378
3500, 0.06, 0.005, 5, 0.4, 20124
3500, 0.65, 0.015, 5, 0.6, 19524
3500, 0.55, 0.01, 10, 0.2, 20268
3500, 0.65, 0.005, 5, 0.0, 19798
3500, 0.65, 0.015, 5, 0.4, 17451
2500, 0.65, 0.001, 5, 0.6, 18654
3000, 0.5, 0.001, 5, 0.4, 20200
3500, 0.07, 0.005, 10, 0.2, 19389
2500, 0.06, 0.02, 10, 0.2, 19048
2500, 0.07, 0.02, 5, 0.6, 20529
3500, 0.5, 0.005, 10, 0.2, 21827
3500, 0.5, 0.005, 5, 0.4, 19120
3500, 0.5, 0.015, 10, 0.6, 17762
3000, 0.5, 0.02, 2, 0.2, 19737
2500, 0.07, 0.015, 10, 0.2, 18339
3500, 0.55, 0.015, 10, 0.2, 19297
2500, 0.5, 0.02, 10, 0.4, 19139
3500, 0.5, 0.01, 5, 0.4, 21103
3500, 0.5, 0.015, 2, 0.6, 19401
2500, 0.55, 0.02, 5, 0.2, 18726
3500, 0.65, 0.005, 2, 0.6, 18442
2500, 0.06, 0.01, 5, 0.4, 20336
3500, 0.55, 0.015, 5, 0.6, 18521
3500, 0.06, 0.015, 5, 0.6, 20409
3000, 0.55, 0.005, 5, 0.4, 19802
3500, 0.55, 0.005, 5, 0.2, 20397
3000, 0.07, 0.015, 5, 0.4, 20147
3000, 0.55, 0.001, 5, 0.4, 21024
3000, 0.5, 0.001, 5, 0.2, 19843
3500, 0.55, 0.02, 5, 0.6, 20303
3500, 0.65, 0.015, 10, 0.2, 20587
3000, 0.07, 0.01, 10, 0.2, 18220
3000, 0.55, 0.02, 10, 0.0, 19834
3500, 0.5, 0.005, 10, 0.0, 19341
3000, 0.5, 0.001, 10, 0.2, 17553
3000, 0.06, 0.015, 5, 0.4, 18037
2500, 0.65, 0.02, 5, 0.0, 18245
3000, 0.5, 0.015, 5, 0.2, 20422
2500, 0.07, 0.02, 10, 0.2, 20632
3500, 0.65, 0.01, 5, 0.0, 18760
3500, 0.5, 0.01, 10, 0.0, 20447
3500, 0.55, 0.02, 10, 0.6, 20575
3000, 0.5, 0.02, 5, 0.0, 17811
3500, 0.06, 0.001, 10, 0.2, 20155
2500, 0.65, 0.015, 5, 0.2, 20359
2500, 0.07, 0.02, 10, 0.0, 18912
2500, 0.07, 0.01, 10, 0.0, 20420
2500, 0.55, 0.005, 5, 0.4, 20611
3500, 0.65, 0.001, 10, 0.2, 18794
2500, 0.55, 0.001, 5, 0.4, 19816
3000, 0.65, 0.015, 5, 0.0, 18962
3500, 0.65, 0.001, 10, 0.0, 17774
3500, 0.5, 0.001, 10, 0.2, 19055
2500, 0.65, 0.01, 5, 0.2, 20842
3000, 0.5, 0.02, 5, 0.4, 20404
3000, 0.65, 0.02, 5, 0.4, 20378
3500, 0.65, 0.02, 10, 0.0, 19088
2500, 0.06, 0.001, 5, 0.6, 20280
3500, 0.65, 0.005, 10, 0.2, 19969
2500, 0.65, 0.02, 5, 0.4, 19830
3000, 0.06, 0.015, 10, 0.2, 19233
3500, 0.55, 0.02, 10, 0.0, 19476
3500, 0.5, 0.015, 10, 0.0, 20261
3000, 0.55, 0.005, 5, 0.6, 18929
3500, 0.5, 0.015, 5, 0.0, 21599
3000, 0.55, 0.02, 5, 0.0, 20724
3500, 0.65, 0.01, 5, 0.6, 20288
3000, 0.55, 0.005, 5, 0.2, 21246
3500, 0.07, 0.02, 5, 0.4, 18598
3000, 0.65, 0.005, 5, 0.4, 19048
3500, 0.55, 0.005, 5, 0.4, 19312
3000, 0.07, 0.01, 10, 0.0, 18544
2500, 0.65, 0.001, 5, 0.4, 21214
3000, 0.06, 0.001, 5, 0.0, 19724
3500, 0.07, 0.01, 5, 0.4, 20339
2500, 0.5, 0.005, 5, 0.6, 16004
3000, 0.65, 0.001, 5, 0.2, 20000
3000, 0.55, 0.001, 5, 0.6, 19866
3000, 0.5, 0.02, 10, 0.2, 18224
3000, 0.5, 0.005, 5, 0.4, 21097
2500, 0.65, 0.015, 10, 0.2, 20162
3500, 0.5, 0.001, 10, 0.0, 20080
3000, 0.65, 0.005, 5, 0.2, 19720
3500, 0.65, 0.015, 10, 0.0, 19787
3000, 0.65, 0.01, 10, 0.2, 15428
3000, 0.06, 0.01, 5, 0.0, 21331
3000, 0.65, 0.005, 5, 0.6, 20330
3500, 0.65, 0.001, 5, 0.4, 20259
3000, 0.55, 0.001, 5, 0.2, 19816
3500, 0.65, 0.01, 5, 0.2, 19301
2500, 0.65, 0.015, 5, 0.4, 18737
3500, 0.06, 0.015, 5, 0.0, 19578
3000, 0.65, 0.015, 10, 0.0, 20672
2500, 0.65, 0.001, 10, 0.0, 18989
3000, 0.65, 0.02, 5, 0.2, 19240
3500, 0.5, 0.01, 5, 0.0, 18082
3500, 0.5, 0.01, 5, 0.2, 16392
3500, 0.5, 0.015, 5, 0.4, 20978
3000, 0.65, 0.001, 10, 0.2, 20169
3500, 0.65, 0.02, 5, 0.6, 19167
3000, 0.65, 0.001, 5, 0.0, 19860
3000, 0.65, 0.005, 10, 0.2, 20720
3000, 0.65, 0.015, 5, 0.2, 20767
3000, 0.55, 0.01, 5, 0.2, 21206
2500, 0.55, 0.01, 5, 0.4, 19986
3000, 0.5, 0.015, 10, 0.2, 20228
3500, 0.55, 0.001, 5, 0.2, 20747
3000, 0.55, 0.01, 5, 0.0, 19380
